名　　　　称,,,,進路,番　号,,鎖　　　　　　　　　　　　　　錠,,信号制御又はてっ査鎖錠,進路鎖錠,接近鎖錠又は保留鎖錠
方向てこ,当駅,-,高見沢駅,,1,L,[(16L)],TH1T TH2T,{((3L)) 又は ((4L)) 但 98N},,
,高見沢駅,-,当駅,,,R,[｢16R｣],TH1T TH2T,{[((14R))又は((15R))]但 98N},,
場内信号機,館浜方,-,1番線,,2R,A, 21 (22),,2RT 21ｲT 22T 2RAT,(2RT)(21ｲT 22T),{[14RT 15RT 22T] TH1T TH2T 但(1R)}
,館浜方,-,2番線,,,B, 21  22,,2RT 21ｲT 22T 2RBT,(2RT)(21ｲT 22T),
出発信号機,1番線,-,館浜方,,3L,(T),(22) 21,(1L),22T 21ｲT 2RT,(22T)(21ｲT)(2RT),2RAT
同上,3番線,-,館浜方,,4L,(T),(21),(1L),21ﾛT 21ｲT 2RT 22T,(21ﾛT 21ｲT)(2RT),{249T 245T 241T 237T 但(6L)} 6LT
同上,2番線,-,新大路方,,5R,(S),,,5RT,,{TH1T TH2T 2RT 但(1R)}{21ｲT 22T 但21 22} 2RBT
場内信号機,新大路方,-,3番線,,6L,(C),,,6LT,,249T 245T 241T 237T
CTC切換てこ,無　　効,,,,81,L,,,,,
,有　　効,,,,,R,2R 3L 4L 5R 6L,,,,
開放てこ（高見沢方）,集　　中,,,,98,N,,,,,
,駅　　扱,,,,,R,,,,,
転てつ器,（　２　動　）,,,,21,,,,21ｲT 21ﾛT 22T,,
同　上,（　２　動　）,,,,22,,,,22T,,
