名　　　　称,,,,進路,番　号,,鎖　　　　　　　　　　　　　　錠,,信号制御又はてっ査鎖錠,進路鎖錠,接近鎖錠又は保留鎖錠,
場内信号機,館浜方,-,11番線,,1R,A, 51  52  53 (55) 54 (57) 56,,1RT 51ﾛT 52T 55T 54T 57T 56T 1RAT,(1RT 51ﾛT 52T)(55T 54T)(57T 56T),136T 142T 146T,((60秒))
,同上,-,12番線,,,B, 51  52  53 (55) 54  57  56,,1RT 51ﾛT 52T 55T 54T 57T 1RBT,(1RT 51ﾛT 52T)(55T 54T)(57T 56T),,
,同上,-,新大路方,,,C, 51  52  53  55  54,,1RT 51ﾛT 52T 55T 1RCT,(1RT 51ﾛT 52T)(55T),,
出発信号機,13番線,-,新大路方,,2R,(C),(54) 55,12L,54T 55T 1RCT,(54T 55T),13T,((30秒))
同上,11番線,-,館浜方,,3L,(E),(57) 56 (55) 54 (53) 52,,56T 57T 54T 55T 52T 53T 5LET,(56T 57T)(54T 55T)(52T 53T),1RAT,((30秒))
同上,12番線,-,館浜方,,4L,(E), 56  57 (55) 54 (53) 52,,57T 54T 55T 52T 53T 5LET,(57T)(54T 55T)(52T 53T),1RBT,((30秒))
場内信号機,新大路方,-,10番線,,5L,D,(52) 53 (51),,5LT 53T 52T 51ﾛT 51ｲT 5LDT,(5LT 53T 52T)(51ﾛT 51ｲT),{[44T] 但[(12L)][(6L)][46]} {[11LT] 但[(5L)]}{[12LT] 但[(6L)]} {[42ﾛT] 但[(42)]} [42ｲT] [TST],((60秒))
,同上,-,館浜方,,,E, 52  53,,5LT 53T 5LET,(5LT 53T),,
入換信号機,10番線,-,13番線,,11R,(13), 51  54  55,12L 15L13 16L13,51ｲT 13T,({51ｲT 13T 但 60秒}),5LDT,((30秒))
同上,13番線,-,10番線,,12L,(D), 51,2R 11L 13R,51ｲT 5LDT,(51ｲT),{54T 57T 但 54 55}{56T 但 54 55 (57)},((30秒))
誘導信号機,同上,-,同上,,12LZ,(D),,,,,,
入換信号機,13番線,-,11番線,,13R,A, 54  55  56 (57),12L 15L13 16L13,54T 57T 56T 1RAT,(54T)(57T 56T),{5LDT 但(11R)} 51ｲT 13T,((30秒))
,同上,-,12番線,,,B, 54  55  56  57,12L 15L13 16L13,54T 57T 1RBT,(54T)(57T),,
入換信号機,61T,-,11番線,,14R,A, 56  57,15L 41L,56T 1RAT,,61T 69T,((30秒))
,同上,-,12番線,,,B, 56 (57),16L 41L,56T 57T 1RBT,(56T 57T),,
入換信号機,11番線,-,69T,N,15L,N, 57  56 (63)(65)(67)(69),31RJ 32RJ 33RJ,56T 61T 69T,(56T)(61T)(69T),1RAT,((30秒))
,同上,-,1番線,1,,1, 57  56 (63)(65)(67) 69,21R,56T 61T 69T 1T,(56T)(61T)(69T),,
,同上,-,2番線,2,,2, 57  56 (63)(65) 67 (68),22R,56T 61T 2T 69T,(56T)(61T),,
,同上,-,3番線,3,,3, 57  56 (63)(65) 67  68,23R,56T 61T 3T 69T,(56T)(61T),,
,同上,-,4番線,4,,4, 57  56 (63) 65 (66),24R,56T 61T 4T,(56T)(61T),,
,同上,-,5番線,5,,5, 57  56 (63) 65  66,25R,56T 61T 5T,(56T)(61T),,
,同上,-,6番線,6,,6, 57  56  63 (62)(64),26R,56T 61T 6T,(56T)(61T),,
,同上,-,7番線,7,,7, 57  56  63 (62) 64,27R,56T 61T 7T,(56T)(61T),,
,同上,-,8番線,8,,8, 57  56  63  62 (61),28R,56T 61T 8T,(56T)(61T),,
,同上,-,9番線,9,,9, 57  56  63  62  61,29R,56T 61T 9T,(56T)(61T),,
,同上,-,13番線,13,,13,(57) 56  55  54  51,11R 13RA,56T 57T 54T 13T,(56T 57T)(54T)(13T 但 30秒),,
誘導信号機,11番線,-,1番線,1,15LZ,1,,,,,,
,同上,-,2番線,2,,2,,,,,,
,同上,-,3番線,3,,3,,,,,,
,同上,-,4番線,4,,4,,,,,,
,同上,-,5番線,5,,5,,,,,,
,同上,-,6番線,6,,6,,,,,,
,同上,-,7番線,7,,7,,,,,,
,同上,-,8番線,8,,8,,,,,,
,同上,-,9番線,9,,9,,,,,,
入換信号機,12番線,-,69T,N,16L,N,(56) 57 (63)(65)(67)(69),31RJ 32RJ 33RJ,57T 56T 61T 69T,(56T)(61T)(69T),1RBT,((30秒))
,同上,-,1番線,1,,1,(56) 57 (63)(65)(67) 69,21R,57T 56T 61T 69T 1T,(56T)(61T)(69T),,
,同上,-,2番線,2,,2,(56) 57 (63)(65) 67 (68),22R,57T 56T 61T 2T 69T,(56T)(61T),,
,同上,-,3番線,3,,3,(56) 57 (63)(65) 67  68,23R,57T 56T 61T 3T 69T,(56T)(61T),,
,同上,-,4番線,4,,4,(56) 57 (63) 65 (66),24R,57T 56T 61T 4T,(56T)(61T),,
,同上,-,5番線,5,,5,(56) 57 (63) 65  66,25R,57T 56T 61T 5T,(56T)(61T),,
,同上,-,6番線,6,,6,(56) 57  63 (62)(64),26R,57T 56T 61T 6T,(56T)(61T),,
,同上,-,7番線,7,,7,(56) 57  63 (62) 64,27R,57T 56T 61T 7T,(56T)(61T),,
,同上,-,8番線,8,,8,(56) 57  63  62 (61),28R,57T 56T 61T 8T,(56T)(61T),,
,同上,-,9番線,9,,9,(56) 57  63  62  61,29R,57T 56T 61T 9T,(56T)(61T),,
,同上,-,13番線,13,,13, 56  57  55  54  51,11R 13RB,57T 56T 57T 54T 13T,(56T 57T)(54T)(13T 但 30秒),,
誘導信号機,12番線,-,1番線,1,16LZ,1,,,,,,
,同上,-,2番線,2,,2,,,,,,
,同上,-,3番線,3,,3,,,,,,
,同上,-,4番線,4,,4,,,,,,
,同上,-,5番線,5,,5,,,,,,
,同上,-,6番線,6,,6,,,,,,
,同上,-,7番線,7,,7,,,,,,
,同上,-,8番線,8,,8,,,,,,
,同上,-,9番線,9,,9,,,,,,
入換信号機,1番線,-,61T,,21R,(J),,,,,,
同上,2番線,-,61T,,22R,(J),,,,,,
同上,3番線,-,61T,,23R,(J),,,,,,
同上,4番線,-,61T,,24R,(J),,,,,,
同上,5番線,-,61T,,25R,(J),,,,,,
同上,6番線,-,61T,,26R,(J),,,,,,
同上,7番線,-,61T,,27R,(J),,,,,,
同上,8番線,-,61T,,28R,(J),,,,,,
同上,9番線,-,61T,,29R,(J),,,,,,
同上,21番線,-,同上,J,31R,J,,,,,,
,同上,-,70T,P,,P,,,,,,
,同上,-,24番線,24,,24,,,,,,
,同上,-,25番線,25,,25,,,,,,
,同上,-,26番線,26,,26,,,,,,
同上,22番線,-,61T,J,32R,J,,,,,,
,同上,-,70T,P,,P,,,,,,
同上,23番線,-,61T,J,33R,J,,,,,,
,同上,-,70T,P,,P,,,,,,
同上,24番線,-,21番線,,34L,(21),,,,,,
同上,25番線,-,同上,,35L,(21),,,,,,
同上,26番線,-,同上,,36L,(21),,,,,,
同上,27番線,-,76T,,37L,(Q),,,,,,
同上,28番線,-,同上,,38L,(Q),,,,,,
同上,29番線,-,同上,,39L,(Q),,,,,,
同上,30番線,-,同上,,40L,(Q),,,,,,
入換信号機,69T,-,21番線,21,41L,21,,,,,,
