名　　　　称,,,,進路,番　号,,鎖　　　　　　　　　　　　　　錠,,信号制御又はてっ査鎖錠,進路鎖錠,接近鎖錠又は保留鎖錠
場内信号機,館浜方,-,1番線,,1R,(A), 21,11R,1RAT,({1RAT 但 30秒}),[23T] [SST] 86T 92T
出発信号機,2番線,-,館浜方,,2L,(T),,4R 12L,2LT,,{111T 105T 103T 5LT 21ｲT 但 (5L)} 5LBT
同　上,1番線,-,新大路方,,3R,(S), 21,11R,21ﾛT SST,(21ﾛT),{[23T] [SST] 86T 92T 但 (1R)} 1RAT
同　上,2番線,-,新大路方,,4R,(S),(21),2L 12L,21ｲT 21ﾛT SST,(21ｲT 21ﾛT),5LBT
場内信号機,新大路方,-,2番線,,5L,(B), 21,,5LT 21ｲT 5LBT,(5LT 21ｲT),117T 111T 105T 103T
入換信号機,1番線,-,SST,,11R,(S), 21,1R 3R,21ﾛT SST,(21ﾛT),1RAT
同　上,SST,-,2番線,,12L,(B),(21),2L 4R,21ﾛT 21ｲT 5LBT,(21ﾛT 21ｲT)({5LBT 但 30秒}),SST
CTC切換てこ,無　　効,,,,81,L,,,,,
,有　　効,,,,,R,1R 2L 3R 4R 5L 11R 12L,,,,
転てつ器,（　２　動　）,,,,21,,,,21ｲT 21ﾛT,,
