名　　　　称,,,,進路,番　号,,鎖　　　　　　　　　　　　　　錠,,信号制御又はてっ査鎖錠,進路鎖錠,接近鎖錠又は保留鎖錠,
方向てこ,当駅,-,西赤山駅,,1,L,[(14L)],NA1T NA2T,{((3L)) 又は ((4L)) 又は ((5L)) 但 98N},,,
,西赤山駅,-,当駅,,,R,[｢14R｣],NA1T NA2T,{[((13R))]但 98N},,,
場内信号機,館浜方,-,1番線,1,2R,A,(21) 22,3L 9LA 31R 32L 33L,2RT 21T 22ｲT 2RAT,(2RT 21T),{[21ｲT 21ﾛT] NA1T NA2T 但(1R)},((60秒))
同上,同上,-,2番線,2,,B, 21  22  23,4L 9LB,2RT 21T 22ｲT 2RBT,(2RT 21T)(22ｲT),,
同上,同上,-,3番線,3,,C, 21 (22),5L 9LC,2RT 21T 22ｲT 22ﾛT 9LCT,(2RT 21T)(22ｲT 22ﾛT),,
出発信号機,1番線,-,館浜方,,3L,(T),(21),(1L) 2R 6R 31R 32L 33L,21T 2RT 22ｲT,(21T)(2RT),{AS2T AS1T 但(9LA)} {25T 23ﾛT 23ｲT 但25 (23)} 2RAT,((60秒))
同上,2番線,-,同上,,4L,(T), 22  21,(1L) 2R 7R,22ｲT 21T 2RT,(22ｲT)(21T)(2RT),{AS2T AS1T 但(9LB)} {25T 23ﾛT 但25 23} 2RBT,((60秒))
同上,3番線,-,同上,,5L,(T),(22) 21,(1L) 2R 8R,22ﾛT 22ｲT 21T 2RT,(22ﾛT 22ｲT)(21T)(2RT),{AS2T AS1T 但(9LC)} {25T 但(25)} 9LCT,((60秒))
同上,1番線,-,新大路方,,6R,(S),(23) 25,3L 9L,23ｲT 23ﾛT 25T 9LT,(23ｲT 23ﾛT)(25T)(9LT),{NA1T NA2T 但(2RA)} {2RT 21T 但(21)} 2RAT,((60秒))
同上,2番線,-,同上,,7R,(S), 23  25,4L 9L 23ﾛT,25T 9LT,(23ﾛT)(25T)(9LT),{NA1T NA2T 但(2RB)} {2RT 21T 22ｲT 但21 22} 2RBT,((60秒))
同上,3番線,-,同上,,8R,(S),(25),5L 9L,25T 9LT,(25T)(9LT),{NA1T NA2T 但(2RC)} {2RT 21T 22ｲT 22ﾛT 但21 (22)} 9LCT,((60秒))
場内信号機,新大路方,-,1番線,1,9L,A, 25 (23),2RA 6R (10L),9LT 25T 23ﾛT 23ｲT 2RAT,(9LT 25T)(23ﾛT 23ｲT)(2RAT),{AS2T AS1T 但(10L)},((60秒))
同上,同上,-,2番線,2,,B, 25  23  22,2RB 7R (10L),9LT 25T 23ﾛT 2RBT,(9LT 25T)(23ﾛT)(2RBT),,
同上,同上,-,3番線,3,,C,(25) 23,2RC 8R (10L),9LT 25T 9LCT,(9LT 25T)(9LCT),,
方向てこ,三郷駅,-,当駅,,10,L,[[｢11L｣]],AS1T AS2T,{[[((12L))]] 但 99N},,,
,当駅,-,三郷駅,,,R,[[(11R)]],AS1T AS2T,{((6R)) 又は ((7R)) 又は ((8R)) 但 99N},,,
入換信号機,1番線,-,DT,,31R,D, 23 (24),2RA 3L 32L,23ｲT 24T DT,(23ｲT)(24T),2RAT,((30秒))
同上,同上,-,ET,,,E, 23  24,2RA 3L 33L,23ｲT 24T ET,(23ｲT)(24T),,
同上,DT,-,1番線,,32L,A,(24) 23,2RA 3L 31RD,24T 23ｲT 2RAT,(24T)(23ｲT),DT,((30秒))
同上,ET,-,同上,,33L,A, 24  23,2RA 3L 31RE,24T 23ｲT 2RAT,(24T)(23ｲT),ET,((30秒))
CTC切換てこ,無　　効,,,,81,L,,,,,,
,有　　効,,,,,R,2R 3L 4L 5L 6R 7R 8R 9L 31R 32L 33L,,,,,
開放てこ（西赤山方）,集　　中,,,,98,N,,,,,,
,駅　　扱,,,,,R,,,,,,
開放てこ（三郷方）,集　　中,,,,99,N,,,,,,
,駅　　扱,,,,,R,,,,,,
転てつ器,,,,,21,,,,21T,,,
同　上,（　２　動　）,,,,22,,,,22ｲT 22ﾛT,,,
転てつ器,（　２　動　）,,,,23,,,,23ｲT 23ﾛT,,,
同　上,,,,,24,,,,24T,,,
同　上,,,,,25,,,,25T,,,
