名　　　　称,,,,進路,番　号,,鎖　　　　　　　　　　　　　　錠,,信号制御又はてっ査鎖錠,進路鎖錠,接近鎖錠又は保留鎖錠,
方向てこ,当駅,-,水越駅,,11,L,[(16L)],MT1T MT2T,{((12L)) 又は ((13L)) 但 98N},,,
,水越駅,-,当駅,,,R,[｢16R｣],MT1T MT2T,{[((14R))又は((15R))]但 98N},,,
出発信号機,1番線,-,館浜方,,12L,, 21,(11L) 12R 14R,12LT 21T,(12LT 21T),{TH1T TH2T 但(14L)} {22T 但22} 14RT 12RT,((60秒))
場内信号機,館浜方,-,1番線,,12R,, 21,12L 14L,21T 12LT 12RT,(21T 12LT),{MT1T MT2T 但(11R)},((60秒))
出発信号機,2番線,-,館浜方,,13L,,(21),(11L) 13R 15R,13LT 21T,(13LT 21T),{TH1T TH2T 但(15L)} {22T 但(22)} 15RT 15LT,((60秒))
場内信号機,館浜方,-,2番線,,13R,,(21),13L 15L,21T 13LT 15LT,(21T 13LT),{MT1T MT2T 但(11R)},((60秒))
同上,新大路方,-,1番線,,14L,, 22,12R 14R,22T 14RT 12RT,(22T 14RT),{[[2RT]] TH1T TH2T 但(16L)},((60秒))
出発信号機,1番線,-,新大路方,,14R,, 22,12L 14L (16R),14RT 22T,(14RT 22T),{MT1T MT2T 但(12R)}{21T 但21} 12LT 12RT,((60秒))
場内信号機,新大路方,-,2番線,,15L,,(22),13R 15R,22T 15RT 15LT,(22T 15RT),{[[2RT]] TH1T TH2T 但(16L)},((60秒))
出発信号機,2番線,-,新大路方,,15R,,(22),13L 15L (16R),15RT 22T,(15RT 22T),{MT1T MT2T 但(13R)}{21T 但(21)} 13LT 15LT,((60秒))
方向てこ,日野森駅,-,当駅,,16,L,[[｢1L｣]],TH1T TH2T,{[[((3L)) 又は ((4L))]] 但 99N},,,
,当駅,-,日野森駅,,,R,[[(1R)]],TH1T TH2T,{((14R)) 又は ((15R)) 但 99N},,,
CTC切換てこ,無　　効,,,,81,L,,,,,,
,有　　効,,,,,R,12L 12R 13L 13R 14L 14R 15L 15R,,,,,
開放てこ（水越方）,集　　中,,,,98,N,,,,,,
,駅　　扱,,,,,R,,,,,,
開放てこ（日野森方）,集　　中,,,,99,N,,,,,,
,駅　　扱,,,,,R,,,,,,
転てつ器,,,,,21,,,,21T,,,
同　上,,,,,22,,,,22T,,,
