名　　　　称,,,,進路,番　号,,鎖　　　　　　　　　　　　　　錠,,信号制御又はてっ査鎖錠,進路鎖錠,接近鎖錠,,,,,
方向てこ,当駅,-,藤江駅,,11,L,[(16L)],FMT,{((12L)) 又は ((13L)) 但 98N},,,,,,,
,藤江駅,-,当駅,,,R,[｢16R｣],FMT,{[((14R))又は((15R))]但 98N},,,,,,,
出発信号機,1番線,-,館浜方,,12L,, 21,(11L) 12R 14R,21ｲT 21ﾛT,(21ｲT),{MT2T MT1T 但(14L)} {22ﾛT 22ｲT 但(22)} 12RT,((60秒)),
場内信号機,館浜方,-,1番線,,12R,, 21,12L 14L,21ｲT 12RT 21ﾛT,(21ｲT),{[12RT 但(14R)]} {DF2T 但[(13R)(15R)]} {[21T 13LT 15LT 但(15R)]} {[14RT 15RT 22T] FMT 但(11R)},((60秒)),
,,,,,,,,,,,,,,,,
出発信号機,2番線,-,館浜方,,13L,,(21),(11L) 13R 15R,21ﾛT 21ｲT,(21ﾛT 21ｲT),{MT2T MT1T 但(15L)} {22ﾛT 但22} 15LT,((60秒)),
場内信号機,館浜方,-,2番線,,13R,,(21),13L 15L,21ｲT 21ﾛT 15LT,(21ｲT 21ﾛT),{[12RT 但(14R)]} {DF2T 但[(13R)(15R)]} {[21T 13LT 15LT 但(15R)]} [14RT 15RT 22T] FMT,((60秒)),
,,,,,,,,,,,,,,,,
場内信号機,新大路方,-,1番線,,14L,,(22),12R 14R,22ﾛT 22ｲT 12RT,(22ﾛT 22ｲT),{[[12LT 13LT 21T]] 但(16L)} MT1T MT2T,((60秒)),
出発信号機,1番線,-,新大路方,,14R,,(22),12L 14L (16R),22ｲT 22ﾛT,(22ｲT 22ﾛT),{[14RT 15RT 22T] FMT 但(12R)} {21ｲT 但21} 12RT,((60秒)),
場内信号機,新大路方,-,2番線,,15L,, 22,13R 15R,22ﾛT 15LT,(22ﾛT),{[[12LT 13LT 21T]] 但(16L)} MT1T MT2T,((60秒)),
出発信号機,2番線,-,新大路方,,15R,, 22,13L 15L (16R),22ﾛT,(22ﾛT),{[14RT 15RT 22T] FMT 但(12R)} {21ｲT 21ﾛT 但(21)} 15LT,((60秒)),
方向てこ,高見沢駅,-,当駅,,16,L,[[｢11L｣]],MT1T MT2T,{[[((12L)) 又は ((13L))]] 但 99N},,,,,,,
,当駅,-,高見沢駅,,,R,[[(11R)]],MT1T MT2T,{((14R)) 又は ((15R)) 但 99N},,,,,,,
CTC切換てこ,無　　効,,,,81,L,,,,,,,,,,
,有　　効,,,,,R,12L 12R 13L 13R 14L 14R 15L 15R,,,,,,,,,
開放てこ （藤江方）,集　　中,,,,98,N,,,,,,,,,,
,駅　　扱,,,,,R,,,,,,,,,,
開放てこ （高見沢方）,集　　中,,,,99,N,,,,,,,,,,
,駅　　扱,,,,,R,,,,,,,,,,
転てつ器,（　２　動　）,,,,21,,,,21ｲT 21ﾛT,,,,,,,
同　上,（　２　動　）,,,,22,,,,22ｲT 22ﾛT,,,,,,,
