名　　　　称,,,,進路,番　号,,鎖　　　　　　　　　　　　　　錠,,信号制御又はてっ査鎖錠,進路鎖錠,接近鎖錠,
場内信号機,館浜方,-,1番線,,1R,A,(32) 33,23R,1RT 32T 1RAT,(1RT 32T)({1RAT 但 30秒}),108T 114T 120T 124T,((60秒))
,同上,-,2番線,,,B, 32  33,24R,1RT 32T 1RBT,(1RT 32T)({1RBT 但 30秒}),,
出発信号機,3番線,-,館浜方,,2L,(T), 31,6R 21L 25LC,31T TST,(31T),{145T 143T 137T 但(10LC)(4L)} {10LT 35ｲT 34T 但(4L)} 4LT,((60秒))
同　上,4番線,-,同上,,3L,(T),(31),5L 7R 10LSD 22L 25LD,31T TST,(31T),5LT,((30秒))
場内信号機,34T,-,3番線,,4L,(C), 31,6R 21L 25LC,4LT                                   ((10LC)),,{145T 143T 137T 但(10LC)}10LT 35ｲT 34T,((60秒))
誘導信号機,同上,-,同上,,4LZ,(C),,,,,,
場内信号機,34T,-,4番線,,5L,(D),(31),3L 7R 22L 25LD,5LT                                   ((10LD)),({5LT 但 30秒}),{145T 143T 137T 但(10LD)}10LT 35ｲT 34T,((60秒))
誘導信号機,同上,-,同上,,5LZ,(D),,,,,,
出発信号機,3番線,-,新大路方,,6R,(S), 34 (35) 36,2L 4L,34T 35ｲT 35ﾛT 36ｲT SST,(34T)(35ｲT 35ﾛT)(36ｲT),4LT,((30秒))
同　上,4番線, ,同上,,7R,(S),(34)(35) 36,3L 5L,34T 35ｲT 35ﾛT 36ｲT SST,(34T)(35ｲT 35ﾛT)(36ｲT),5LT,((30秒))
同　上,1番線,-,同上,,8R,(S),(33) 35  36,,33ｲT 33ﾛT 35ﾛT 36ｲT SST,(33ｲT 33ﾛT) (35ﾛT) (36ｲT),1RAT,((30秒))
同　上,2番線,-,同上,,9R,(S), 33  35  36,,33ﾛT 35ﾛT 36ｲT SST,(33ﾛT) (35ﾛT) (36ｲT),{114T 120T 124T 1RT 32T 但(1RB)}1RBT,((60秒))
場内信号機,新大路方,-,3番線,,10L,SC, 35  34,,10LT 35ｲT 34T 4LT,(10LT 35ｲT) (34T),151T 145T 143T 137T,((60秒))
,同上,-,4番線,,,SD, 35 (34),,10LT 35ｲT 34T 5LT,(10LT 35ｲT) (34T) ({5LT 但 30秒}),,
入換信号機,34T,-,3番線,,21L,(C),,2L 4L 6R 21LZ,4LT                                   ((25LC)),({4LT 但 30秒}),{23RT 36ﾛT 36ｲT 35ﾛT 35ｲT 34T 但(25LC)},
入換信号機,34T,-,4番線,,22L,(D),(31),3L 5L 7R 22LZ,5LT                                   ((25LD)),({5LT 但 30秒}),{23RT 36ﾛT 36ｲT 35ﾛT 35ｲT 34T 但(25LD)},
入換信号機,1番線,-,5番線,,23R,(E), 33  36,1RA,33ｲT 36ﾛT 23RT,(33ｲT) (36ﾛT),1RAT,((30秒))
同　上,2番線,-,同上,,24R,(E), 33  35 (36),1RB,33ﾛT 35ﾛT 36ｲT 36ﾛT 23RT,(33ﾛT) (35ﾛT) (36ｲT 36ﾛT),1RBT,((30秒))
同　上,5番線,-,3番線,3,25L,C,(36)(35) 34,2L 4L,36ﾛT 36ｲT 35ﾛT 35ｲT 34T 4LT,(36ﾛT 36ｲT) (35ﾛT 35ｲT) (34T) ({4LT 但 30秒}),23RT,((30秒))
,同上,-,4番線,4,,D,(36)(35)(34),3L 5L,36ﾛT 36ｲT 35ﾛT 35ｲT 34T 5LT,(36ﾛT 36ｲT) (35ﾛT 35ｲT) (34T) ({5LT 但 30秒}),,
CTC切換てこ,無　　効,,,,81,L,,,,,,
,有　　効,,,,,R,1R 2L 3L 4L 4LZ 5L 5LZ 6R 7R 8R 9R 10L 23R 24R 25L,,,,,
転てつ器,,,,,31,,,,31T,,,
同　上,,,,,32,,,,32T,,,
同　上,（　２　動　）,,,,33,,,,33ｲT 33ﾛT,,,
同　上,,,,,34,,,,34T,,,
同　上,（　２　動　）,,,,35,,,,35ｲT 35ﾛT,,,
同　上,（　２　動　）,,,,36,,,,36ｲT 36ﾛT,,,
